Space Group,PBE Energy,PBESol Energy,HSE Energy,IVDW Energy
P2_1/c,0.0,0.0,0.0,0.0
P2_1/m,0.20718000000000814,0.227090000000004,0.24519999999998277,0.215849999999989
Pca2_1,0.2870400000000046,0.20853999999999928,0.2580499999999972,0.17683999999999855
Pbcn,0.35017000000000564,0.6442700000000059,0.42061999999998534,0.5068699999999922
P4_2/nmc,0.43936000000000774,0.3140199999999993,0.39636999999999034,0.3128200000000021
Pmn2_1,0.4536200000000008,0.37707000000000335,0.45006999999998243,0.35188999999999737
P4/nbm,0.568160000000006,0.3818200000000047,0.4855799999999988,0.40540999999998917
P-43m,0.5961599999999976,0.39831999999999823,0.5054700000000025,0.4265099999999933
Fm-3m,0.8466099999999983,0.5645800000000065,0.6853399999999965,0.6257799999999918
