Space Group,PBE a,PBE b,PBE c,PBE alpha,PBE beta,PBE gamma,PBESol a,PBESol b,PBESol c,PBESol alpha,PBESol beta,PBESol gamma,HSE a,HSE b,HSE c,HSE alpha,HSE beta,HSE gamma,IVDW a,IVDW b,IVDW c,IVDW alpha,IVDW beta,IVDW gamma
Fm-3m,5.116,5.116,5.116,90.0,90.0,90.0,5.065,5.065,5.065,90.0,90.0,90.0,5.072,5.072,5.072,90.0,90.0,90.0,5.088,5.088,5.088,90.0,90.0,90.0
P4_2/nmc,5.121,5.121,5.277,90.0,90.0,90.0,5.072,5.072,5.172,90.0,90.0,90.0,5.077,5.077,5.196,90.0,90.0,90.0,5.093,5.093,5.217,90.0,90.0,90.0
P2_1/c,5.188,5.249,5.369,90.0,99.62,90.0,5.13,5.213,5.296,90.0,99.592,90.0,5.152,5.203,5.319,90.0,99.553,90.0,5.148,5.235,5.317,90.0,99.44,90.0
P-43m,5.145,5.145,5.145,90.0,90.0,90.0,5.088,5.088,5.088,90.0,90.0,90.0,5.095,5.095,5.095,90.0,90.0,90.0,5.113,5.113,5.113,90.0,90.0,90.0
P4/nbm,5.163,5.163,5.121,90.0,90.0,90.0,5.101,5.101,5.071,90.0,90.0,90.0,5.109,5.109,5.076,90.0,90.0,90.0,5.129,5.129,5.094,90.0,90.0,90.0
P2_1/m,5.488,5.23,5.232,84.48,100.48,100.48,5.415,5.177,5.177,84.091,100.664,100.664,5.429,5.185,5.186,84.391,100.405,100.407,5.435,5.191,5.191,84.35,100.18,100.18
Pbcn,4.996,5.798,5.27,90.0,90.0,90.0,4.999,5.659,5.191,90.0,90.0,90.0,4.964,5.722,5.232,90.0,90.0,90.0,4.993,5.72,5.227,90.0,90.0,90.0
Pca2_1,5.323,5.1,5.128,90.0,90.0,90.0,5.256,5.053,5.071,90.0,90.0,90.0,5.266,5.061,5.084,90.0,90.0,90.0,5.284,5.072,5.095,90.0,90.0,90.0
Pmn2_1,5.152,5.264,5.152,90.0,85.697,90.0,5.108,5.185,5.109,90.0,85.782,90.0,5.111,5.202,5.111,90.0,85.848,90.0,5.128,5.22,5.129,90.0,85.8,90.0
